Item Name,Description,Category,Price
Vegan Chicken Baguette,"Avocado, pesto, lettuce, tomato, pickled onion, mayo","Salads, Sandwiches & Baguettes",$14.95
Chef Salad,"Romaine, apple, celery, carrots, cucumber, cherry tomatoes, walnuts, blue cheese & buttermilk dressing","Salads, Sandwiches & Baguettes",$11.95
Kale & Romaine Salad,"Quinoa, goat cheese, pepitas & charmoula vinaigrette","Salads, Sandwiches & Baguettes",$11.95
Tomato Avocado Salad,"Arugula, cucumber, queso fresco & cilantro-lime vinaigrette","Salads, Sandwiches & Baguettes",$11.95
Ham & Swiss Baguette,Grainy mustard,"Salads, Sandwiches & Baguettes",$8.95
Prosciutto & Manchego Baguette,House made fig jam,"Salads, Sandwiches & Baguettes",$10.50
Goat Cheese & Sweet Pepper Baguette,Smoked paprika & arugula,"Salads, Sandwiches & Baguettes",$10.50
Smoked Turkey Sandwich,"Brie, plum aioli, pickled red onion and arugula on sourdough","Salads, Sandwiches & Baguettes",$10.50
Tuna Salad Sandwich,"Arugula, red bell pepper, red onion, celery and basil aioli on sourdough","Salads, Sandwiches & Baguettes",$11.25
Brioche Grilled Cheese,"Manchego cheese, piquillo pepper and caramelized onions on brioche","Salads, Sandwiches & Baguettes",$10.95
Roasted Chicken Poblano,"Manchego cheese, poblano onion crema and arugula on baguette","Salads, Sandwiches & Baguettes",$12.50
Chipotle Chicken Club,"Manchego cheese, lettuce, bacon, tomato and chipotle mayo on baguette","Salads, Sandwiches & Baguettes",$14.50
Vegetarian Chipotle Club,"Avocado, manchego cheese, lettuce, tomato and chipotle mayo on baguette","Salads, Sandwiches & Baguettes",$11.95
